xs,rhoa_ini,rhoa_sat,diff_rhoa,xrange,slope
2024-03-18 13:00:00,31.01,30.49,0.5200000000000031,38.0,0.00023199466788194936
2024-03-30 15:00:00,29.97,29.09,0.879999999999999,34.0,0.00030679208019944963
2024-04-01 11:00:00,29.75,28.95,0.8000000000000007,64.0,0.00022015527034736825
2024-05-01 19:00:00,28.9,30.12,-1.2200000000000024,42.0,0.0003501016587315541
2024-05-05 19:00:00,31.1,28.96,2.1400000000000006,40.0,0.00024431889981875644
2024-05-07 15:00:00,29.55,29.09,0.46000000000000085,36.0,0.00033575599237770434
2024-05-10 13:00:00,30.68,28.9,1.7800000000000011,70.0,0.00025900218086148826
2024-05-13 23:00:00,30.15,28.82,1.3299999999999983,52.0,0.0003065530849568205
2024-05-16 19:00:00,29.87,28.79,1.0800000000000018,66.0,0.0002208405246349796
2024-05-21 21:00:00,30.66,29.06,1.6000000000000014,62.0,0.00016479252752793535
2024-05-24 17:00:00,29.73,29.2,0.5300000000000011,48.0,0.000255617266078517
2024-05-29 11:00:00,30.42,29.48,0.9400000000000013,74.0,0.00026196247757957503
2024-06-02 19:00:00,30.87,29.83,1.0400000000000027,98.0,0.00023716131876994905
2024-06-15 13:00:00,30.4,29.48,0.9199999999999982,100.0,0.0002547507916422422
2024-06-20 11:00:00,31.3,30.34,0.9600000000000009,40.0,0.00020366364338500633
2024-06-22 13:00:00,31.01,30.29,0.7200000000000024,76.0,0.0002101168315226878
2024-06-26 17:00:00,31.31,29.45,1.8599999999999994,186.0,0.0002271337123827163
2024-07-13 13:00:00,26.09,25.85,0.23999999999999844,14.0,0.0004069001826026484
2024-07-14 13:00:00,26.18,25.88,0.3000000000000007,24.0,0.0003335471499487717
2024-07-20 13:00:00,25.86,25.65,0.21000000000000085,14.0,0.0004246320669143708
2024-07-21 11:00:00,26.01,25.74,0.2700000000000031,16.0,0.00048683405453969514
2024-07-22 11:00:00,26.2,25.51,0.6899999999999977,16.0,0.0005177552957761046
2024-08-02 11:00:00,27.6,26.4,1.2000000000000028,16.0,0.00036654890572749676
2024-08-13 11:00:00,25.92,25.57,0.3500000000000014,40.0,0.00031049255952292685
2024-08-15 15:00:00,26.5,26.03,0.46999999999999886,34.0,0.00033875583261459564
2024-08-21 15:00:00,26.38,26.19,0.18999999999999773,12.0,0.00041582156457378223
2024-08-22 11:00:00,26.51,26.37,0.14000000000000057,16.0,0.0003204780619487961
2024-08-24 11:00:00,26.93,26.69,0.23999999999999844,48.0,0.0003478062653001608
2024-08-26 21:00:00,27.7,26.98,0.7199999999999989,68.0,0.0003205945889847776
2024-06-29 11:00:00,31.04,31.18,-0.14000000000000057,60.0,0.00020530021598488533
2024-07-02 01:00:00,32.04,31.97,0.07000000000000028,68.0,0.00014592346094452932
2024-06-04 23:00:00,30.83,30.74,0.08999999999999986,60.0,0.00016723116518254806
2024-06-29 11:00:00,31.04,31.18,-0.14000000000000057,60.0,0.00020530021598488533
2024-07-02 01:00:00,32.04,31.97,0.07000000000000028,68.0,0.00014592346094452932
2024-06-04 23:00:00,30.83,30.74,0.08999999999999986,60.0,0.00016723116518254806
